Emotion,Text
0,"Say , Jim , how about going for a few beers after dinner ? "
0, You know that is tempting but is really not good for our fitness . 
0, What do you mean ? It will help us to relax . 
0, Do you really think so ? I don't . It will just make us fat and act silly . Remember last time ? 
0, I guess you are right.But what shall we do ? I don't feel like sitting at home . 
0, I suggest a walk over to the gym where we can play singsong and meet some of our friends . 
4, That's a good idea . I hear Mary and Sally often go there to play pingpong.Perhaps we can make a foursome with them . 
4," Sounds great to me ! If they are willing , we could ask them to go dancing with us.That is excellent exercise and fun , too . "
4, Good.Let ' s go now . 
4, All right . 
0,Can you do push-ups ? 
0," Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . "
6, Really ? I think that's impossible ! 
0, You mean 30 push-ups ? 
0, Yeah ! 
0," It's easy . If you do exercise everyday , you can make it , too . "
0,Can you study with the radio on ? 
0," No , I listen to background music . "
0, What is the difference ? 
0, The radio has too many comerials . 
0," That's true , but then you have to buy a record player . "
0,Are you all right ? 
0, I will be all right soon . I was terrified when I watched them fall from the wire . 
0, Don't worry.He is an acrobat 。 
0, I see . 
0,"Hey John , nice skates . Are they new ? "
0," Yeah , I just got them . I started playing ice hockey in a community league . So , I finally got myself new skates . "
0, What position do you play ? 
0, I ’ m a defender . It ’ s a lot of fun . You don ’ t have to be able to skate as fast on defense . 
0," Yeah , you ’ re a pretty big guy . I play goalie , myself . "
6," Oh , yeah ? Which team ? "
0, The Rockets . 
6," Really ? I think we play you guys next week . Well , I have to go to practice . See you later . "
0," All right , see you later . "
0,"Hey Lydia , what are you reading ? "
4," I ’ m looking at my horoscope for this month ! My outlook is very positive . It says that I should take a vacation to someplace exotic , and that I will have a passionate summer fling ! "
0, What are you talking about ? Let me see that ... What are horoscopes ? 
0," It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? "
0, January 5th . 
4," Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! "
0," That ’ s bogus . I don't feel any stress at work , and my love life is practically nonexistent . This zodiac stuff is all a bunch of nonsense . "
0," No , it ’ s not , your astrology sign can tell you a lot about your personality . See ? It says that an Aries is energetic and loves to socialize . "
0," Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? "
